Ticker,VWAP Threshold %,RSI Buy,ATR Multiplier,Total Return %,Sharpe Ratio,Max Drawdown %,Win Rate %,Total Trades
AMD,1.0%,30,2.0x,+5.74%,7.065135300034799,3.66%,48.57%,35
AMD,1.0%,40,2.0x,+8.34%,5.966094396678867,3.85%,48.61%,72
AMD,0.7%,30,2.0x,+4.64%,5.649796309028445,3.70%,47.37%,38
AMD,1.0%,35,2.0x,+7.11%,5.610999856422746,4.76%,50.94%,53
AMD,0.5%,30,2.0x,+4.47%,5.400521602914725,3.71%,46.15%,39
AMD,1.0%,30,1.5x,+5.63%,5.33182131500508,3.31%,46.15%,39
AMD,1.0%,30,2.5x,+4.50%,5.033686758237701,3.40%,53.33%,30
AMD,0.7%,40,2.0x,+7.94%,4.753786575997095,4.41%,48.15%,81
AMD,0.7%,30,2.5x,+4.26%,4.708240511561859,3.40%,53.12%,32
AMD,0.7%,35,2.0x,+6.31%,4.6654634977641205,4.80%,49.15%,59
TQQQ,0.5%,40,2.0x,+8.44%,4.553802901286116,6.06%,50.55%,91
AMD,0.7%,30,1.5x,+4.69%,4.501127242221297,3.34%,42.86%,42
AMD,0.5%,30,2.5x,+4.09%,4.493371674888656,3.41%,51.52%,33
AMD,0.3%,30,2.0x,+3.46%,4.001749683471674,3.74%,43.59%,39
TQQQ,0.3%,40,2.0x,+7.68%,3.9381768822227885,6.34%,49.50%,101
AMD,0.5%,40,2.0x,+6.97%,3.9101019559289787,4.57%,47.19%,89
FNGU,0.3%,40,2.0x,+8.08%,3.81530042053321,6.24%,49.15%,118
TQQQ,0.7%,40,2.0x,+6.94%,3.7930745956896548,5.99%,46.75%,77
AMD,0.3%,40,2.0x,+6.93%,3.658204020656332,4.64%,47.92%,96
FNGU,0.5%,40,2.0x,+7.60%,3.6113015827650714,6.13%,47.17%,106
AMD,0.7%,35,2.5x,+4.91%,3.608214002898685,4.82%,52.00%,50
AMD,0.3%,30,2.5x,+3.38%,3.6036649093495847,3.54%,50.00%,34
AMD,0.5%,30,1.5x,+3.64%,3.5131859846931457,3.37%,40.91%,44
AMD,1.0%,35,2.5x,+4.35%,3.4502626804727523,4.84%,51.11%,45
TQQQ,0.5%,40,2.5x,+6.71%,3.3135857402040276,4.45%,52.63%,76
TQQQ,1.0%,40,2.0x,+5.50%,3.313424119344602,6.07%,45.16%,62
AMD,0.5%,35,2.0x,+4.79%,3.2893714920720574,4.87%,45.31%,64
FNGU,0.7%,40,2.0x,+6.42%,3.227129896644006,6.87%,46.32%,95
AMD,1.0%,40,1.5x,+4.87%,3.1985434480395516,4.26%,40.70%,86
TQQQ,0.7%,40,2.5x,+6.27%,3.1981655158171174,4.42%,50.00%,64
AMD,0.7%,40,2.5x,+4.23%,3.1414444880009382,5.12%,47.69%,65
AMD,0.3%,30,1.5x,+3.28%,3.1230704672108525,3.41%,40.00%,45
FNGU,1.0%,30,2.5x,+6.37%,3.009508739088942,4.12%,51.28%,39
TQQQ,0.3%,40,2.5x,+6.39%,2.986692890884839,4.72%,53.09%,81
FNGU,0.5%,30,2.5x,+6.08%,2.8900908044155296,4.14%,52.38%,42
AMD,0.7%,40,1.5x,+4.61%,2.882159682647439,4.11%,39.18%,97
FNGU,0.5%,40,1.5x,+6.40%,2.8038838096822487,6.69%,45.74%,129
FNGU,1.0%,40,2.0x,+5.57%,2.7481040571035655,6.64%,43.21%,81
AMD,0.3%,35,2.0x,+4.12%,2.743284712398973,5.00%,44.62%,65
FNGU,0.7%,40,2.5x,+5.93%,2.7076907850152976,5.92%,50.00%,80
FNGU,0.5%,40,2.5x,+6.37%,2.6858305033901058,5.38%,51.69%,89
FNGU,0.3%,40,2.5x,+6.70%,2.654067922732867,5.91%,55.00%,100
FNGU,0.7%,30,2.5x,+5.39%,2.5752959083403786,4.16%,50.00%,40
FNGU,0.3%,30,2.5x,+5.83%,2.567672544014635,4.34%,53.49%,43
FNGU,1.0%,40,2.5x,+5.67%,2.549670251249841,5.72%,50.00%,66
FNGU,0.3%,40,1.5x,+5.88%,2.5485426082585994,6.70%,46.85%,143
AMD,1.0%,35,1.5x,+3.46%,2.4564855562560153,4.90%,40.00%,60
AMD,1.0%,40,2.5x,+2.88%,2.4497015725446225,5.10%,46.55%,58
FNGU,0.7%,40,1.5x,+5.31%,2.42123619436901,7.15%,43.97%,116
TQQQ,0.7%,35,2.5x,+4.39%,2.393390231838239,5.05%,53.06%,49
TQQQ,0.5%,35,2.5x,+4.40%,2.341472186615158,5.04%,54.72%,53
TQQQ,0.5%,40,1.5x,+3.72%,2.2100880706975814,6.25%,41.51%,106
FNGU,0.3%,30,2.0x,+3.76%,2.1861248179955535,5.72%,46.81%,47
FNGU,0.5%,30,2.0x,+3.64%,2.143242973290737,5.69%,45.65%,46
FNGU,1.0%,30,2.0x,+3.63%,2.0967598739468234,5.95%,42.86%,42
FNGU,1.0%,40,1.5x,+4.50%,2.048400644649247,6.93%,43.56%,101
TQQQ,1.0%,40,2.5x,+3.74%,2.0146438054591123,4.53%,45.10%,51
TQQQ,0.3%,35,2.5x,+4.01%,1.9994280499807788,5.32%,56.36%,55
TQQQ,0.7%,30,2.5x,+3.43%,1.9307787972550967,3.96%,47.06%,34
TQQQ,0.5%,30,2.5x,+3.25%,1.7766875047645199,3.97%,47.06%,34
FNGU,0.7%,30,2.0x,+2.95%,1.7548311314077634,5.71%,43.18%,44
FNGU,1.0%,30,1.5x,+3.27%,1.7480852708619552,6.11%,38.89%,54
FNGU,1.0%,35,2.5x,+3.53%,1.7205490812103739,6.44%,47.17%,53
TQQQ,0.7%,40,1.5x,+2.91%,1.6644378268821876,6.67%,41.30%,92
AMD,0.7%,35,1.5x,+2.20%,1.6204696168501775,4.96%,36.76%,68
FNGU,0.3%,30,1.5x,+3.01%,1.6183326892302419,6.20%,40.68%,59
TQQQ,0.3%,30,2.5x,+2.98%,1.5423800819883091,4.23%,48.57%,35
FNGU,0.5%,30,1.5x,+2.69%,1.4745940271521187,6.25%,39.66%,58
TQQQ,0.3%,40,1.5x,+2.66%,1.4430773066947702,6.85%,42.24%,116
TQQQ,0.5%,30,2.0x,+2.05%,1.4354771858441717,5.68%,42.50%,40
AMD,0.5%,35,2.5x,+2.24%,1.4176977659176502,4.94%,47.17%,53
TQQQ,0.7%,30,2.0x,+1.90%,1.3985102538485192,5.70%,41.03%,39
AMD,0.3%,40,2.5x,+2.35%,1.3631750120007458,5.74%,48.75%,80
TQQQ,0.3%,30,2.0x,+1.90%,1.2621241531183371,5.95%,43.90%,41
FNGU,0.7%,35,2.5x,+2.47%,1.223841263443689,6.61%,45.00%,60
AMD,0.5%,40,2.5x,+1.96%,1.2147461387121372,5.70%,46.58%,73
FNGU,0.3%,35,2.5x,+2.54%,1.1536875388314498,7.06%,48.57%,70
AMD,0.3%,35,2.5x,+1.87%,1.149985900648131,5.33%,47.27%,55
FNGU,0.7%,30,1.5x,+2.01%,1.123409622065286,6.27%,38.18%,55
FNGU,0.5%,35,2.5x,+2.20%,1.0793583852877997,6.54%,45.45%,66
AMD,0.3%,40,1.5x,+2.18%,1.076423470259761,5.46%,40.00%,115
TQQQ,0.5%,35,2.0x,+1.49%,0.9758635560787421,6.85%,45.90%,61
AMD,0.5%,40,1.5x,+1.55%,0.8161891229187664,5.19%,37.96%,108
TQQQ,0.3%,35,2.0x,+1.23%,0.7706882985162462,7.13%,46.88%,64
TQQQ,0.7%,35,2.0x,+0.89%,0.6118465437479476,6.90%,41.82%,55
FNGU,1.0%,35,2.0x,+0.93%,0.5466114900303983,7.41%,38.10%,63
TQQQ,1.0%,35,2.5x,+0.88%,0.544467667699422,5.23%,44.74%,38
FNGU,1.0%,35,1.5x,+0.87%,0.4867509370082611,7.80%,40.51%,79
FNGU,0.3%,35,2.0x,+0.48%,0.30183023957623856,7.23%,40.24%,82
TQQQ,1.0%,30,2.5x,+0.42%,0.2937840395650893,4.08%,37.04%,27
FNGU,0.3%,35,1.5x,+0.41%,0.25860986134537517,7.90%,40.82%,98
TQQQ,1.0%,40,1.5x,+0.29%,0.22081552677245334,6.81%,36.71%,79
TQQQ,0.3%,30,1.5x,+0.14%,0.1408938538996136,5.82%,32.69%,52
FNGU,0.5%,35,2.0x,-0.22%,-0.04996613301540679,7.29%,37.18%,78
TQQQ,0.5%,30,1.5x,-0.18%,-0.07423772067531248,5.97%,31.37%,51
FNGU,0.5%,35,1.5x,-0.32%,-0.08901208353286513,8.24%,39.78%,93
FNGU,0.7%,35,2.0x,-0.32%,-0.10975860200403229,7.56%,37.50%,72
FNGU,0.7%,35,1.5x,-0.49%,-0.17772726922076118,8.39%,39.08%,87
TQQQ,0.7%,30,1.5x,-0.36%,-0.20672226037319535,5.99%,30.00%,50
AMD,0.5%,35,1.5x,-0.45%,-0.20952023875683037,5.70%,35.14%,74
AMD,0.3%,35,1.5x,-0.47%,-0.21086729691026546,5.95%,35.53%,76
TQQQ,1.0%,30,2.0x,-1.17%,-0.9157074273701066,5.87%,32.26%,31
TQQQ,1.0%,35,2.0x,-1.42%,-0.9875953152583122,7.06%,37.21%,43
TQQQ,0.5%,35,1.5x,-2.51%,-1.3495079053634096,7.83%,32.00%,75
TQQQ,0.7%,35,1.5x,-2.72%,-1.401554360682235,8.22%,31.88%,69
TQQQ,0.3%,35,1.5x,-3.27%,-1.6163276904100854,8.43%,34.18%,79
TQQQ,1.0%,30,1.5x,-3.01%,-2.216045063907473,6.15%,21.95%,41
TQQQ,1.0%,35,1.5x,-5.91%,-3.2460730541558123,9.14%,24.56%,57
