Ticker,VWAP Threshold %,RSI Buy,ATR Multiplier,Total Return %,Sharpe Ratio,Max Drawdown %,Win Rate %,Total Trades
AMD,1.0%,30,2.0x,+5.74%,7.065135300034799,3.66%,48.57%,35
AMD,1.0%,40,2.0x,+8.34%,5.966094396678867,3.85%,48.61%,72
AMD,0.7%,30,2.0x,+4.64%,5.649796309028445,3.70%,47.37%,38
AMD,1.0%,35,2.0x,+7.11%,5.610999856422746,4.76%,50.94%,53
AMD,0.5%,30,2.0x,+4.47%,5.400521602914725,3.71%,46.15%,39
AMD,1.0%,30,1.5x,+5.63%,5.33182131500508,3.31%,46.15%,39
AMD,1.0%,30,2.5x,+4.50%,5.033686758237701,3.40%,53.33%,30
AMD,0.7%,40,2.0x,+7.94%,4.753786575997095,4.41%,48.15%,81
AMD,0.7%,30,2.5x,+4.26%,4.708240511561859,3.40%,53.12%,32
AMD,0.7%,35,2.0x,+6.31%,4.6654634977641205,4.80%,49.15%,59
