timeframe,fast_ema,slow_ema,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades,Avg Duration (min)
5m,3,13,2.5,True,70,-10.935915894994718,-1.3817217475771912,19.59441169486981,26.89873417721519,316,225.93354430379748
5m,3,13,2.5,True,100,-13.18096578080506,-1.621194055241299,20.40497102291454,27.19033232628399,331,222.0845921450151
5m,3,13,2.5,False,70,-43.51728562983743,-3.5115688511585965,44.56171231251331,26.53061224489796,539,194.92578849721707
5m,3,13,2.5,False,100,-43.94974772152126,-3.5056692451005143,44.99417440419713,26.929982046678635,557,192.92639138240574
5m,3,13,3.5,True,70,1.0105312358526817,0.2015592325648645,16.737801612738497,29.430379746835445,316,259.90506329113924
5m,3,13,3.5,True,100,1.211066662971848,0.2207665640174476,18.666779943311234,29.909365558912388,331,256.26888217522657
5m,3,13,3.5,False,70,-33.60429453423912,-2.1149865064413285,44.11025583830689,27.643784786641927,539,220.56586270871986
5m,3,13,3.5,False,100,-33.566650138188756,-2.0322154040886096,45.51144800963867,28.007181328545784,557,218.78815080789946
5m,3,13,4.5,True,70,0.6564015472238339,0.16386726885060807,17.827350672789528,29.430379746835445,316,265.14240506329116
5m,3,13,4.5,True,100,1.9627200472240018,0.29421505735933307,18.232319549442863,29.909365558912388,331,262.8549848942598
5m,3,13,4.5,False,70,-33.0314952049136,-2.0293809355635077,43.892120321793776,27.82931354359926,539,224.37847866419295
5m,3,13,4.5,False,100,-31.867294858650858,-1.8406025824228942,44.59828638685021,28.186714542190305,557,223.4560143626571
5m,3,13,,True,70,1.8170085000023164,0.284852968277773,18.110405253902798,29.11392405063291,316,266.2974683544304
5m,3,13,,True,100,3.1233270000023365,0.4045311393819356,18.517085806901726,29.607250755287005,331,263.95770392749245
5m,3,13,,False,70,-31.943983249996027,-1.91687230229789,44.31753424999729,27.82931354359926,539,225.18552875695732
5m,3,13,,False,100,-30.652611749995913,-1.725661708907695,44.94724549999726,28.186714542190305,557,224.25493716337522
5m,3,21,2.5,True,70,-13.462328779691632,-1.9121560593854228,17.709086391828873,27.27272727272727,242,256.6735537190083
5m,3,21,2.5,True,100,-15.652430760912159,-2.1371300137088407,19.00972596428194,27.450980392156865,255,251.19607843137254
5m,3,21,2.5,False,70,-34.95657257273563,-3.1551008401101734,36.05580367117654,25.60386473429952,414,211.14734299516908
5m,3,21,2.5,False,100,-35.23103682389742,-3.097776242035876,36.60943237243069,26.218097447795824,431,208.34106728538282
5m,3,21,3.5,True,70,6.088978502757687,0.737263670453194,13.145012386134091,29.338842975206614,242,329.6694214876033
5m,3,21,3.5,True,100,2.9218347362451143,0.3947124400360346,14.535149564300118,29.80392156862745,255,321.62745098039215
5m,3,21,3.5,False,70,-16.01395549428447,-0.9101406524696238,30.553920711519833,26.811594202898554,414,274.8550724637681
5m,3,21,3.5,False,100,-18.931182225584564,-1.0923492213338115,32.84694946499863,27.37819025522042,431,270.24361948955914
5m,3,21,4.5,True,70,3.8193963627285714,0.4865157092072155,14.83386230841287,29.338842975206614,242,340.8264462809917
5m,3,21,4.5,True,100,0.34018433003432164,0.13656031831985266,16.587284173401283,29.80392156862745,255,334.5882352941176
5m,3,21,4.5,False,70,-18.171891792909957,-1.0158498899412132,32.893422575120944,27.053140096618357,414,283.6111111111111
5m,3,21,4.5,False,100,-22.708357550265713,-1.3065087527975683,35.49882114422488,27.610208816705335,431,280.11600928074245
5m,3,21,,True,70,6.0575127500017745,0.6936459056680929,15.150695316735444,29.338842975206614,242,344.27685950413223
5m,3,21,,True,100,2.4199395000018966,0.3319072687970523,17.259588416711434,29.80392156862745,255,337.98039215686276
5m,3,21,,False,70,-14.982976749997205,-0.7609820962416082,32.387120125539255,27.294685990338163,414,288.4178743961353
5m,3,21,,False,100,-19.875227499997074,-1.0614180335814825,35.43395465371664,27.842227378190255,431,285.1856148491879
5m,3,30,2.5,True,70,-5.880295442496413,-0.8525687568181297,15.100392698680496,30.729166666666668,192,264.53125
5m,3,30,2.5,True,100,-8.676998733131324,-1.2311107650202713,16.956807911588275,30.73170731707317,205,257.1951219512195
5m,3,30,2.5,False,70,-30.839735596536855,-2.8971312950734958,32.59469739719731,26.82926829268293,328,221.64634146341464
5m,3,30,2.5,False,100,-31.789814783046072,-2.9507953004873158,33.86676240016195,27.536231884057973,345,217.6086956521739
5m,3,30,3.5,True,70,12.578962386186094,1.4643221668780093,11.11005447825982,30.208333333333332,192,388.3333333333333
